"TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","COLUMN_DEFAULT","IS_NULLABLE","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","CHARACTER_OCTET_LENGTH","NUMERIC_PRECISION","NUMERIC_PRECISION_RADIX","NUMERIC_SCALE","DATETIME_PRECISION","CHARACTER_SET_CATALOG","CHARACTER_SET_SCHEMA","CHARACTER_SET_NAME","COLLATION_CATALOG","COLLATION_SCHEMA","COLLATION_NAME","DOMAIN_CATALOG","DOMAIN_SCHEMA","DOMAIN_NAME"
"Production","prod","Shifts","ShiftID","1","","NO","tinyint","","","3","10","0","","","","","","","","","",""
"Production","prod","Shifts","ShiftName","2","","NO","nvarchar","10","20","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","Shifts","StartTime","3","","NO","nvarchar","5","10","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","Shifts","EndTime","4","","NO","nvarchar","5","10","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","Shifts","SpansMidnight","5","((0))","NO","bit","","","","","","","","","","","","","","",""
"Production","prod","Shifts","IsActive","6","((1))","NO","bit","","","","","","","","","","","","","","",""
"Production","prod","ScrapEntries","ScrapID","1","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","ScrapEntries","ProcessCode","2","","NO","nvarchar","5","10","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","ScrapEntries","ProcessRecordID","3","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","ScrapEntries","ReasonID","4","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","ScrapEntries","Quantity","5","","NO","decimal","","","12","10","3","","","","","","","","","",""
"Production","prod","ScrapEntries","UnitOfMeasure","6","","NO","nvarchar","5","10","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","ScrapEntries","EnteredAt","7","(getdate())","NO","datetime","","","","","","3","","","","","","","","",""
"Production","prod","ScrapEntries","EnteredByUserID","8","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","ScrapEntries","Notes","9","","YES","nvarchar","-1","-1","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","WorkCentres","WorkCentreID","1","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","WorkCentres","ProcessCode","2","","NO","nvarchar","5","10","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","WorkCentres","WorkCentreName","3","","NO","nvarchar","50","100","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","WorkCentres","SAPWorkCentre","4","","YES","nvarchar","20","40","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","WorkCentres","IsActive","5","((1))","NO","bit","","","","","","","","","","","","","","",""
"Production","prod","WorkCentres","Notes","6","","YES","nvarchar","500","1000","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","WorkCentres","CreatedAt","7","(getdate())","NO","datetime","","","","","","3","","","","","","","","",""
"Production","prod","SAPPostings","SAPPostingID","1","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","SAPPostings","ProcessCode","2","","NO","nvarchar","5","10","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","SAPPostings","ProcessRecordID","3","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","SAPPostings","PostingType","4","","NO","nvarchar","20","40","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","SAPPostings","SalesOrderSAP","5","","YES","nvarchar","12","24","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","SAPPostings","ProductionOrderSAP","6","","YES","nvarchar","12","24","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","SAPPostings","MaterialDocumentSAP","7","","YES","nvarchar","10","20","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","SAPPostings","SAPBatchNumber","8","","YES","nvarchar","10","20","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","SAPPostings","Quantity","9","","NO","decimal","","","12","10","3","","","","","","","","","",""
"Production","prod","SAPPostings","UnitOfMeasure","10","","NO","nvarchar","5","10","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","SAPPostings","PostedAt","11","(getdate())","NO","datetime","","","","","","3","","","","","","","","",""
"Production","prod","SAPPostings","PostedByUserID","12","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","SAPPostings","IsSuccess","13","((0))","NO","bit","","","","","","","","","","","","","","",""
"Production","prod","SAPPostings","ErrorMessage","14","","YES","nvarchar","-1","-1","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","SAPPostings","IsReversed","15","((0))","NO","bit","","","","","","","","","","","","","","",""
"Production","prod","SAPPostings","ReversalDocumentSAP","16","","YES","nvarchar","10","20","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","SAPPostings","ReversedAt","17","","YES","datetime","","","","","","3","","","","","","","","",""
"Production","prod","SAPPostings","ReversedByUserID","18","","YES","int","","","10","10","0","","","","","","","","","",""
"Production","prod","Machines","MachineID","1","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","Machines","WorkCentreID","2","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","Machines","MachineCode","3","","NO","nvarchar","20","40","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","Machines","MachineName","4","","NO","nvarchar","100","200","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","Machines","IdealOutputPerHour","5","","YES","decimal","","","10","10","3","","","","","","","","","",""
"Production","prod","Machines","PlannedHoursPerShift","6","","YES","decimal","","","5","10","2","","","","","","","","","",""
"Production","prod","Machines","IsActive","7","((1))","NO","bit","","","","","","","","","","","","","","",""
"Production","prod","Machines","Notes","8","","YES","nvarchar","-1","-1","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","Machines","CreatedAt","9","(getdate())","NO","datetime","","","","","","3","","","","","","","","",""
"Production","prod","ScrapReasons","ReasonID","1","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","ScrapReasons","ReasonCode","2","","NO","nvarchar","10","20","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","ScrapReasons","ReasonDescription","3","","NO","nvarchar","200","400","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","ScrapReasons","AppliesTo","4","","YES","nvarchar","100","200","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","ScrapReasons","IsActive","5","((1))","NO","bit","","","","","","","","","","","","","","",""
"Production","prod","EventLog","EventID","1","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","EventLog","ProcessCode","2","","NO","nvarchar","5","10","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","EventLog","ProcessRecordID","3","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","EventLog","EventType","4","","NO","nvarchar","20","40","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","EventLog","EventMessage","5","","NO","nvarchar","-1","-1","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","EventLog","Severity","6","((0))","NO","tinyint","","","3","10","0","","","","","","","","","",""
"Production","prod","EventLog","CreatedAt","7","(getdate())","NO","datetime","","","","","","3","","","","","","","","",""
"Production","prod","EventLog","CreatedByUserID","8","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","HoseAssemblyQARouting","RoutingID","1","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","HoseAssemblyQARouting","Material","2","","NO","nvarchar","18","36","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","HoseAssemblyQARouting","RequiresQA","3","((0))","NO","bit","","","","","","","","","","","","","","",""
"Production","prod","HoseAssemblyQARouting","Notes","4","","YES","nvarchar","500","1000","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","HoseAssemblyQARouting","UpdatedAt","5","(getdate())","NO","datetime","","","","","","3","","","","","","","","",""
"Production","prod","HoseAssemblyQARouting","UpdatedByUserID","6","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","Mixing","MixingID","1","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","Mixing","MixRef","2","","YES","nvarchar","12","24","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","Mixing","ShiftID","3","","NO","tinyint","","","3","10","0","","","","","","","","","",""
"Production","prod","Mixing","Material","4","","NO","nvarchar","18","36","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","Mixing","MixCode","5","","NO","nvarchar","18","36","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","Mixing","TotalWeightKG","6","((0))","NO","decimal","","","12","10","3","","","","","","","","","",""
"Production","prod","Mixing","SupplierBatchNo","7","","NO","nvarchar","50","100","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","Mixing","SupplierTubNo","8","","NO","nvarchar","20","40","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","Mixing","Status","9","((1))","NO","tinyint","","","3","10","0","","","","","","","","","",""
"Production","prod","Mixing","CreatedAt","10","(getdate())","NO","datetime","","","","","","3","","","","","","","","",""
"Production","prod","Mixing","StartedAt","11","","YES","datetime","","","","","","3","","","","","","","","",""
"Production","prod","Mixing","CompletedAt","12","","YES","datetime","","","","","","3","","","","","","","","",""
"Production","prod","Mixing","CreatedByUserID","13","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","Mixing","IsReversed","14","((0))","NO","bit","","","","","","","","","","","","","","",""
"Production","prod","Mixing","ReversedAt","15","","YES","datetime","","","","","","3","","","","","","","","",""
"Production","prod","Mixing","ReversedByUserID","16","","YES","int","","","10","10","0","","","","","","","","","",""
"Production","prod","Mixing","Notes","17","","YES","nvarchar","-1","-1","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","vw_ActiveBatches","ProcessCode","1","","NO","nvarchar","3","6","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","vw_ActiveBatches","RecordID","2","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","vw_ActiveBatches","BatchRef","3","","YES","nvarchar","12","24","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","vw_ActiveBatches","Material","4","","NO","nvarchar","18","36","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","vw_ActiveBatches","Quantity","5","","YES","decimal","","","12","10","3","","","","","","","","","",""
"Production","prod","vw_ActiveBatches","UOM","6","","NO","nvarchar","2","4","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","vw_ActiveBatches","Status","7","","NO","tinyint","","","3","10","0","","","","","","","","","",""
"Production","prod","vw_ActiveBatches","ShiftID","8","","NO","tinyint","","","3","10","0","","","","","","","","","",""
"Production","prod","vw_ActiveBatches","MachineID","9","","YES","int","","","10","10","0","","","","","","","","","",""
"Production","prod","vw_ActiveBatches","CreatedAt","10","","NO","datetime","","","","","","3","","","","","","","","",""
"Production","prod","vw_ActiveBatches","StartedAt","11","","YES","datetime","","","","","","3","","","","","","","","",""
"Production","prod","DrummingCoils","CoilID","1","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","DrummingCoils","DrummingID","2","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","DrummingCoils","CoilSeq","3","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","DrummingCoils","LengthM","4","","NO","decimal","","","10","10","3","","","","","","","","","",""
"Production","prod","MixingTubs","TubID","1","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","MixingTubs","MixingID","2","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","MixingTubs","TubSeq","3","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","MixingTubs","SupplierTubNo","4","","NO","nvarchar","20","40","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","MixingTubs","TubWeightKG","5","","NO","decimal","","","10","10","3","","","","","","","","","",""
"Production","prod","MixingTubs","MaterialDocumentSAP","6","","YES","nvarchar","10","20","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","MixingTubs","SAPSuccess","7","((0))","NO","bit","","","","","","","","","","","","","","",""
"Production","prod","MixingTubs","SAPErrorMessage","8","","YES","nvarchar","-1","-1","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","Extrusion","ExtrusionID","1","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","Extrusion","ExtRef","2","","YES","nvarchar","12","24","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","Extrusion","ShiftID","3","","NO","tinyint","","","3","10","0","","","","","","","","","",""
"Production","prod","Extrusion","MachineID","4","","YES","int","","","10","10","0","","","","","","","","","",""
"Production","prod","Extrusion","Material","5","","NO","nvarchar","18","36","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","Extrusion","LengthMetres","6","((0))","NO","decimal","","","12","10","3","","","","","","","","","",""
"Production","prod","Extrusion","Preforms","7","","YES","int","","","10","10","0","","","","","","","","","",""
"Production","prod","Extrusion","Status","8","((1))","NO","tinyint","","","3","10","0","","","","","","","","","",""
"Production","prod","Extrusion","CreatedAt","9","(getdate())","NO","datetime","","","","","","3","","","","","","","","",""
"Production","prod","Extrusion","StartedAt","10","","YES","datetime","","","","","","3","","","","","","","","",""
"Production","prod","Extrusion","CompletedAt","11","","YES","datetime","","","","","","3","","","","","","","","",""
"Production","prod","Extrusion","CreatedByUserID","12","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","Extrusion","IsReversed","13","((0))","NO","bit","","","","","","","","","","","","","","",""
"Production","prod","Extrusion","ReversedAt","14","","YES","datetime","","","","","","3","","","","","","","","",""
"Production","prod","Extrusion","ReversedByUserID","15","","YES","int","","","10","10","0","","","","","","","","","",""
"Production","prod","Extrusion","Notes","16","","YES","nvarchar","-1","-1","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","Convoluting","ConvolutingID","1","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","Convoluting","ConvRef","2","","YES","nvarchar","12","24","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","Convoluting","ShiftID","3","","NO","tinyint","","","3","10","0","","","","","","","","","",""
"Production","prod","Convoluting","MachineID","4","","YES","int","","","10","10","0","","","","","","","","","",""
"Production","prod","Convoluting","Material","5","","NO","nvarchar","18","36","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","Convoluting","LengthMetres","6","((0))","NO","decimal","","","12","10","3","","","","","","","","","",""
"Production","prod","Convoluting","Status","7","((1))","NO","tinyint","","","3","10","0","","","","","","","","","",""
"Production","prod","Convoluting","CreatedAt","8","(getdate())","NO","datetime","","","","","","3","","","","","","","","",""
"Production","prod","Convoluting","StartedAt","9","","YES","datetime","","","","","","3","","","","","","","","",""
"Production","prod","Convoluting","CompletedAt","10","","YES","datetime","","","","","","3","","","","","","","","",""
"Production","prod","Convoluting","CreatedByUserID","11","","NO","int","","","10","10","0","","","","","","","","","",""
